Product Name,Sales Date,Quantity,Price
Square Sheet Metal Junction Box,2021-12-04,10,10000
MS Brackets,2021-12-16,100,15000
MS PLatform,2021-12-17,20,25000
Junction Box (S),2021-12-28,30,13500
Sheet Metal Boxes,2021-12-29,94,9400
Sheet Metal Boxes,2022-01-01,41,4100
Square Sheet Metal Junction Box,2022-01-05,10,10000
MS PLatform,2022-01-07,25,31250
Junction Box (S),2022-01-10,25,11250
MS Brackets,2022-01-10,150,22500
Square Sheet Metal Junction Box,2022-01-21,15,15000
Square Sheet Metal Junction Box,2022-01-25,20,20000
Square Sheet Metal Junction Box,2022-02-04,15,15000
MS Brackets,2022-02-06,100,15000
Sheet Metal Boxes,2022-02-07,37,3700
Junction Box (S),2022-02-07,50,22500
Square Sheet Metal Junction Box,2022-02-08,10,10000
MS PLatform,2022-02-13,25,31250
Square Sheet Metal Junction Box,2022-03-03,15,15000
MS Brackets,2022-03-07,200,30000
MS PLatform,2022-03-11,10,12500
Junction Box (S),2022-03-18,45,20250
Square Sheet Metal Junction Box,2022-03-23,10,10000
Sheet Metal Boxes,2022-03-23,62,6200
Junction Box (S),2022-04-07,30,13500
Sheet Metal Boxes,2022-04-12,69,6900
MS PLatform,2022-04-17,10,12500
MS Brackets,2022-04-19,200,30000
Square Sheet Metal Junction Box,2022-04-28,10,10000
MS Brackets,2022-05-06,200,30000
Junction Box (S),2022-05-09,45,20250
Square Sheet Metal Junction Box,2022-05-13,15,15000
MS PLatform,2022-05-18,25,31250
Sheet Metal Boxes,2022-05-20,69,6900
Junction Box (S),2022-06-09,25,11250
Square Sheet Metal Junction Box,2022-06-14,20,20000
MS Brackets,2022-06-14,100,15000
Sheet Metal Boxes,2022-06-16,35,3500
MS PLatform,2022-06-29,20,25000
Square Sheet Metal Junction Box,2022-07-06,20,20000
Square Sheet Metal Junction Box,2022-07-08,15,15000
MS Brackets,2022-07-09,100,15000
Square Sheet Metal Junction Box,2022-07-10,10,10000
MS PLatform,2022-07-11,15,18750
Sheet Metal Boxes,2022-07-12,33,3300
Square Sheet Metal Junction Box,2022-07-23,10,10000
Junction Box (S),2022-07-30,30,13500
Sheet Metal Boxes,2022-08-13,44,4400
Square Sheet Metal Junction Box,2022-08-19,15,15000
Junction Box (S),2022-08-23,30,13500
Square Sheet Metal Junction Box,2022-08-24,15,15000
MS PLatform,2022-08-25,20,25000
MS Brackets,2022-08-26,150,22500
Sheet Metal Boxes,2022-09-05,29,2900
Junction Box (S),2022-09-06,25,11250
MS PLatform,2022-09-08,15,18750
Square Sheet Metal Junction Box,2022-09-14,10,10000
MS Brackets,2022-09-17,100,15000
Square Sheet Metal Junction Box,2022-09-17,20,20000
Square Sheet Metal Junction Box,2022-09-30,15,15000
Sheet Metal Boxes,2022-10-08,54,5400
MS PLatform,2022-10-08,10,12500
Square Sheet Metal Junction Box,2022-10-15,10,10000
MS Brackets,2022-10-28,200,30000
Junction Box (S),2022-10-28,25,11250
Square Sheet Metal Junction Box,2022-11-04,20,20000
Junction Box (S),2022-11-20,45,20250
MS PLatform,2022-11-22,10,12500
Sheet Metal Boxes,2022-11-25,59,5900
Junction Box (S),2022-11-25,45,20250
Square Sheet Metal Junction Box,2022-11-29,15,15000
MS Brackets,2022-11-30,200,30000
Square Sheet Metal Junction Box,2022-12-05,10,10000
Junction Box (S),2022-12-10,25,11250
MS Brackets,2022-12-13,200,30000
Square Sheet Metal Junction Box,2022-12-18,10,10000
MS PLatform,2022-12-19,25,31250
Sheet Metal Boxes,2022-12-24,63,6300
Junction Box (S),2022-12-30,45,20250
Square Sheet Metal Junction Box,2023-01-02,10,10000
MS PLatform,2023-01-09,25,31250
MS Brackets,2023-01-11,150,22500
Sheet Metal Boxes,2023-01-12,40,4000
Junction Box (S),2023-01-19,45,20250
Square Sheet Metal Junction Box,2023-01-26,10,10000
MS PLatform,2023-02-01,30,37500
Sheet Metal Boxes,2023-02-13,41,4100
MS Brackets,2023-02-18,100,15000
Junction Box (S),2023-02-22,45,20250
Square Sheet Metal Junction Box,2023-02-26,15,15000
Sheet Metal Boxes,2023-03-14,77,7700
MS Brackets,2023-03-15,200,30000
Junction Box (S),2023-03-17,50,22500
MS PLatform,2023-03-18,15,18750
Square Sheet Metal Junction Box,2023-03-26,15,15000
Junction Box (S),2023-03-30,30,13500
